Trade,Date,Direction,Entry_Price,Exit_Price,Result,Net_PnL,Cumulative_PnL
0,2025-03-02 15:00,SHORT,86305.265625,87340.9288125,SL,-120.93093819375022,-120.93093819375022
1,2025-03-02 17:00,SHORT,91515.8515625,92614.04178125,SL,-128.23201120937446,-249.16294940312468
2,2025-03-03 14:00,SHORT,94013.328125,90252.795,TP,357.62670018750015,108.46375078437546
3,2025-03-06 01:00,SHORT,89995.8046875,91075.75434375,SL,-126.1021215281249,-17.638370743749434
4,2025-03-06 18:00,SHORT,92298.1171875,88606.19249999999,TP,351.102037781251,333.4636670375016
5,2025-03-07 21:00,SHORT,90461.6328125,86843.1675,TP,344.11605121875044,677.579718256252
6,2025-03-11 18:00,SHORT,81117.4765625,82090.88628125,SL,-113.66180815937511,563.9179100968769
7,2025-03-14 15:00,SHORT,83270.6796875,84269.92784375,SL,-116.67887637812535,447.23903371875156
8,2025-03-18 13:00,SHORT,84746.7265625,81356.8575,TP,322.3765478437502,769.6155815625018
9,2025-03-19 13:00,SHORT,83184.4296875,84182.64284375,SL,-116.558022878125,653.0575586843767
10,2025-03-19 18:00,SHORT,84198.3046875,85208.68434375,SL,-117.97866452812566,535.0788941562511
11,2025-03-23 23:00,SHORT,84657.6328125,85673.52440625,SL,-118.62227509687489,416.4566190593762
12,2025-03-24 10:00,SHORT,86461.7265625,87499.26728125,SL,-121.15017125937452,295.30644780000165
13,2025-03-28 14:00,SHORT,87788.1328125,84276.6075,TP,333.9460572187502,629.2525050187519
14,2025-04-01 09:00,SHORT,83130.40625,84127.971125,SL,-116.48232523749965,512.7701797812522
15,2025-04-02 13:00,SHORT,84357.8515625,85370.14578125,SL,-118.20222160937513,394.5679581718771
16,2025-04-02 22:00,SHORT,86981.828125,83502.555,TP,330.8788741875007,725.4468323593778
17,2025-04-06 18:00,SHORT,83951.1875,80593.14,TP,319.3503172500001,1044.7971496093778
18,2025-04-09 21:00,SHORT,82134.9296875,83120.54884375,SL,-115.08746347812527,929.7096861312525
19,2025-04-10 15:00,SHORT,82207.5546875,78919.2525,TP,312.71753803124983,1242.4272241625024
20,2025-04-11 09:00,SHORT,81031.234375,82003.6091875,SL,-113.54096560624984,1128.8862585562526
21,2025-04-11 17:00,SHORT,82296.140625,83283.6943125,SL,-115.31335224374962,1013.572906312503
22,2025-04-12 14:00,SHORT,83846.5859375,84852.74496875,SL,-117.4858362156255,896.0870700968775
23,2025-04-15 09:00,SHORT,84888.9765625,85907.64428125,SL,-118.94643395937527,777.1406361375023
24,2025-04-21 01:00,SHORT,85940.515625,86971.8018125,SL,-120.41985049374945,656.7207856437527
25,2025-04-22 01:00,SHORT,87289.03125,88336.499625,SL,-122.30939058749969,534.411395056253
26,2025-04-22 13:00,SHORT,88456.234375,89517.7091875,SL,-123.94487560625042,410.4665194500026
27,2025-04-22 17:00,SHORT,90104.265625,91185.5168125,SL,-126.25409699375055,284.21242245625206
28,2025-04-22 21:00,SHORT,91491.8671875,92589.76959375,SL,-128.19840430312456,156.0140181531275
29,2025-04-23 07:00,SHORT,92651.6796875,93763.49984375,SL,-129.82353357812536,26.19048457500213
30,2025-04-25 14:00,SHORT,93890.5859375,95017.27296875,SL,-131.5594890156246,-105.36900444062245
31,2025-05-01 14:00,SHORT,95290.9609375,96434.45246875,SL,-133.52169446562442,-238.89069890624688
32,2025-05-08 02:00,SHORT,96862.9609375,98025.31646875,SL,-135.72438086562457,-374.6150797718715
33,2025-05-08 15:00,SHORT,99143.9921875,100333.72009375,SL,-138.9205618531252,-513.5356416249966
34,2025-05-08 20:00,SHORT,100842.921875,102053.0369375,SL,-141.3011021312501,-654.8367437562467
35,2025-05-10 23:00,SHORT,103076.3046875,104313.22034375,SL,-144.43051812812493,-799.2672618843717
36,2025-05-18 16:00,LONG,101756.9296875,105827.206875,TP,386.26930509375035,-412.99795679062134
37,2025-05-21 04:00,SHORT,105896.2421875,107166.99709375,SL,-148.3818145531254,-561.3797713437467
38,2025-05-21 14:00,SHORT,107400.0703125,108688.87115625,SL,-150.48897852187457,-711.8687498656213
39,2025-05-22 02:00,SHORT,109026.0390625,110334.35153125,SL,-152.76728593437448,-864.6360357999959
40,2025-05-29 17:00,SHORT,111099.515625,106655.53499999999,TP,422.62255743750114,-442.0134783624946
41,2025-06-02 23:00,SHORT,104571.5859375,105826.44496875,SL,-146.52570621562518,-588.5391845781198
42,2025-06-05 19:00,SHORT,106477.078125,102217.995,TP,405.0388051875005,-183.50037939061934
43,2025-06-06 15:00,SHORT,103771.671875,105016.9319375,SL,-145.4048666312505,-328.90524602186986
44,2025-06-08 18:00,SHORT,105098.6015625,106359.78478125,SL,-147.26416050937468,-476.16940653124453
45,2025-06-09 21:00,SHORT,107630.5390625,108922.10553125,SL,-150.8119113343746,-626.9813178656191
46,2025-06-13 00:00,SHORT,109815.7578125,105423.1275,TP,417.7391427187498,-209.24217514686927
47,2025-06-16 07:00,SHORT,105454.7890625,106720.24653125,SL,-147.7632504343749,-357.00542558124425
48,2025-06-16 19:00,SHORT,107164.796875,108450.7744375,SL,-150.1593133812504,-507.1647389624946
49,2025-06-21 21:00,SHORT,105840.84375,101607.20999999999,TP,402.6185696250008,-104.54616933749378
50,2025-06-23 19:00,SHORT,101976.609375,103200.3286875,SL,-142.88962505625048,-247.4357943937443
51,2025-06-25 10:00,SHORT,105539.6875,106806.16375,SL,-147.8822101250007,-395.318004518745
52,2025-06-29 11:00,SHORT,107064.796875,108349.5744375,SL,-150.0191933812507,-545.3371978999957
53,2025-07-03 09:00,SHORT,108460.78125,109762.310625,SL,-151.97524668749983,-697.3124445874955
54,2025-07-04 14:00,LONG,109299.890625,107988.2919375,SL,-152.88868700624946,-850.201131593745
55,2025-07-10 16:00,LONG,107858.15625,112172.4825,TP,409.42956112499985,-440.77157046874515
56,2025-07-10 21:00,SHORT,112700.9140625,114053.32503125,SL,-157.91652078437525,-598.6880912531203
57,2025-07-11 05:00,SHORT,115946.5390625,117337.89753125,SL,-162.4642905343747,-761.152381787495
58,2025-07-13 20:00,SHORT,117683.5234375,119095.72571875,SL,-164.89815304062571,-926.0505348281208
59,2025-07-14 03:00,SHORT,119135.0390625,120564.65953125,SL,-166.93201673437497,-1092.9825515624957
60,2025-07-14 05:00,SHORT,120785.5703125,122234.99715625,SL,-169.24474112187497,-1262.2272926843707
61,2025-07-15 06:00,SHORT,122091.015625,117207.375,TP,464.43422343750007,-797.7930692468706
62,2025-07-25 03:00,LONG,117017.9140625,115613.69909375,SL,-163.6846581906256,-961.4777274374962
63,2025-07-27 16:00,SHORT,117529.9609375,118940.32046875,SL,-164.68298126562465,-1126.160708703121
64,2025-08-01 13:00,SHORT,119217.0546875,114448.3725,TP,453.50167603125027,-672.6590326718706
65,2025-08-04 16:00,SHORT,113681.1875,115045.36175,SL,-159.29007992499965,-831.9491125968702
66,2025-08-07 19:00,SHORT,115471.453125,116857.1105625,SL,-161.79860011875056,-993.7477127156208
67,2025-08-10 22:00,SHORT,117452.484375,118861.9141875,SL,-164.5744211062506,-1158.3221338218714
68,2025-08-11 02:00,SHORT,119812.7734375,121250.52671875,SL,-167.88165814062498,-1326.2037919624963
69,2025-08-13 23:00,SHORT,121881.5,123344.078,SL,-170.78035779999942,-1496.9841497624957
70,2025-08-14 13:00,SHORT,123686.0703125,118738.6275,TP,470.5018114687498,-1026.4823382937461
71,2025-08-15 15:00,LONG,118852.7734375,117426.54015625,SL,-166.25125948437454,-1192.7335977781206
72,2025-08-19 16:00,SHORT,118369.0,113634.23999999999,TP,450.27567600000094,-742.4579217781197
73,2025-08-25 10:00,SHORT,115893.3984375,111257.66249999999,TP,440.8584876562509,-301.59943412186874
74,2025-08-29 14:00,SHORT,112917.171875,108400.485,TP,429.53692181249994,127.93748769063114
75,2025-09-02 03:00,SHORT,108863.3203125,110169.68015625,SL,-152.5392844218754,-24.60179673124425
76,2025-09-02 13:00,SHORT,109632.28125,110947.868625,SL,-153.6167524875003,-178.21854921874456
77,2025-09-05 07:00,SHORT,111404.796875,112741.6544375,SL,-156.1004013812494,-334.31895059999397
78,2025-09-11 03:00,SHORT,112966.625,114322.2245,SL,-158.28883494999968,-492.60778554999365
79,2025-09-17 05:00,SHORT,115798.1328125,117187.71040625,SL,-162.25634369687504,-654.8641292468687
80,2025-09-22 09:00,SHORT,117215.6171875,112526.9925,TP,445.88820778125074,-208.9759214656179
81,2025-09-29 19:00,SHORT,112882.3671875,114236.95559375,SL,-158.17077290312474,-367.1466943687427
82,2025-10-01 08:00,SHORT,114420.625,115793.6725,SL,-160.32617975000005,-527.4728741187428
83,2025-10-01 16:00,SHORT,116106.1015625,117499.37478125001,SL,-162.6878695093758,-690.1607436281186
84,2025-10-02 12:00,SHORT,117665.84375,119077.833875,SL,-164.87338026249967,-855.0341238906183
85,2025-10-03 15:00,SHORT,119727.5859375,121164.31696875,SL,-167.7622934156255,-1022.7964173062437
86,2025-10-05 02:00,SHORT,122234.078125,123700.8870625,SL,-171.2743902687498,-1194.0708075749935
87,2025-10-06 18:00,SHORT,124008.8984375,125497.00521875,SL,-173.7612684906247,-1367.8320760656181
88,2025-10-07 15:00,LONG,123712.234375,122227.6875625,SL,-173.04867344375043,-1540.8807495093686
89,2025-10-09 16:00,LONG,121813.796875,120352.0313125,SL,-170.39313906875043,-1711.273888578119
90,2025-10-10 20:00,SHORT,121477.765625,116618.655,TP,462.10142043750017,-1249.172468140619
91,2025-10-12 16:00,SHORT,112306.71875,113654.39937500001,SL,-157.36417431250084,-1406.5366424531196
92,2025-10-13 01:00,SHORT,114139.5234375,115509.19771875,SL,-159.93230024062515,-1566.4689426937448
93,2025-10-14 10:00,SHORT,115827.6796875,111194.5725,TP,440.6084935312506,-1125.8604491624942
94,2025-10-16 17:00,SHORT,112910.1171875,108393.7125,TP,429.5100857812506,-696.3503633812436
95,2025-10-20 03:00,SHORT,108495.65625,109797.604125,SL,-152.02411353749983,-848.3744769187435
96,2025-10-21 15:00,SHORT,111347.203125,112683.3695625,SL,-156.01970101874966,-1004.3941779374932
97,2025-10-25 08:00,SHORT,110241.6484375,111564.54821875,SL,-154.47059779062522,-1158.8647757281183
98,2025-10-26 11:00,SHORT,111785.328125,113126.7520625,SL,-156.63360176875034,-1315.4983774968687
99,2025-10-26 22:00,SHORT,113275.234375,114634.5371875,SL,-158.72125840624983,-1474.2196359031186
100,2025-10-29 23:00,SHORT,115296.9296875,110685.05249999999,TP,438.58952053125097,-1035.6301153718678
101,2025-11-04 05:00,SHORT,110014.4375,105613.86,TP,418.4949202499999,-617.1351951218676
102,2025-11-09 18:00,SHORT,103150.4140625,104388.21903125,SL,-144.53436018437523,-761.669555306243
103,2025-11-12 16:00,SHORT,105757.2109375,101526.9225,TP,402.30043040625,-359.369124899993
104,2025-11-13 18:00,SHORT,103599.8046875,99455.8125,TP,394.0936570312501,34.72453213125715
105,2025-11-17 19:00,SHORT,96270.3984375,92419.58249999999,TP,366.21259565625104,400.9371277875082
106,2025-11-19 17:00,SHORT,93389.5546875,89653.9725,TP,355.2538660312497,756.1909938187579
107,2025-11-20 16:00,SHORT,92279.4296875,88588.2525,TP,351.0309505312498,1107.2219443500076
108,2025-11-23 15:00,SHORT,86008.625,87040.7285,SL,-120.51528534999976,986.7066590000078
109,2025-11-27 01:00,SHORT,89942.109375,91021.4146875,SL,-126.02688365625006,860.6797753437578
110,2025-11-28 13:00,SHORT,91038.1484375,92130.60621875,SL,-127.56265359062566,733.1171217531321
111,2025-12-01 00:00,LONG,90961.6796875,89870.13953125,SL,-127.23719754687546,605.8799242062568
112,2025-12-02 14:00,SHORT,87106.515625,88151.79381250001,SL,-122.05364969375074,483.826274512506
113,2025-12-02 15:00,SHORT,89157.0625,90226.94725,SL,-124.92687597499975,358.8993985375062
114,2025-12-03 01:00,SHORT,90948.328125,92039.7080625,SL,-127.43679736874945,231.46260116875675
115,2025-12-03 04:00,SHORT,92189.578125,93295.8530625,SL,-129.17603686874986,102.28656430000692
116,2025-12-05 16:00,SHORT,93418.109375,89681.385,TP,355.3624880625006,457.6490523625075
117,2025-12-09 15:00,SHORT,91271.1640625,92366.41803125,SL,-127.88915508437456,329.75989727813294
118,2025-12-09 16:00,SHORT,92724.46875,93837.162375,SL,-129.9255256125,199.83437166563294
119,2025-12-11 02:00,SHORT,94288.1015625,90516.5775,TP,358.67193834375007,558.506310009383
120,2025-12-14 16:00,SHORT,92582.3359375,88879.0425,TP,352.1832059062504,910.6895159156334
121,2025-12-15 17:00,SHORT,89866.8125,86272.14,TP,341.8533547500001,1252.5428706656335
122,2025-12-17 14:00,SHORT,87875.8828125,88930.39340625,SL,-123.13168699687547,1129.411183668758
123,2025-12-18 13:00,SHORT,86946.1015625,87989.45478125,SL,-121.82887750937451,1007.5823061593835
124,2025-12-18 19:00,SHORT,88797.2890625,85245.39749999999,TP,337.78488759375085,1345.3671937531344
125,2025-12-22 07:00,SHORT,88015.984375,89072.1761875,SL,-123.32799730624939,1222.039196446885
126,2026-01-04 00:00,SHORT,89726.6015625,90803.32078125,SL,-125.7249141093754,1096.3142823375094
127,2026-01-05 00:00,SHORT,91197.3046875,92291.67234375,SL,-127.78566332812541,968.5286190093842
128,2026-01-05 17:00,SHORT,92916.90625,94031.909125,SL,-130.19516903750056,838.3334499718836
129,2026-01-08 06:00,SHORT,94264.9609375,90494.3625,TP,358.58391140624974,1196.9173613781334
130,2026-01-13 14:00,SHORT,91112.8046875,92206.15834375,SL,-127.66726192812439,1069.250099450009
131,2026-01-13 20:00,SHORT,93283.03125,94402.427625,SL,-130.70818338749967,938.5419160625092
132,2026-01-14 14:00,SHORT,95266.8515625,96410.05378125,SL,-133.4879124093747,805.0540036531345
133,2026-01-19 00:00,SHORT,97212.4921875,93323.9925,TP,369.7963202812507,1174.8503239343854
134,2026-01-25 19:00,SHORT,90108.515625,86504.175,TP,342.77279343749973,1517.6231173718852
135,2026-01-27 02:00,SHORT,87551.1015625,88601.71478125,SL,-122.67660350937543,1394.9465138625096
136,2026-01-28 13:00,SHORT,89012.0546875,90080.19934375,SL,-124.72369102812559,1270.222822834384
137,2026-02-03 17:00,SHORT,78959.21875,75800.84999999999,TP,300.3608681250009,1570.583690959385
138,2026-02-04 17:00,SHORT,76421.3046875,73364.4525,TP,290.70664303125005,1861.290333990635
139,2026-02-06 14:00,SHORT,67311.828125,68119.5700625,SL,-94.31733356875027,1766.9730004218848
140,2026-02-06 16:00,SHORT,68182.078125,69000.2630625,SL,-95.5367278687502,1671.4362725531346
141,2026-02-06 17:00,SHORT,69743.1484375,70580.06621875,SL,-97.72409959062483,1573.7121729625098
142,2026-02-07 10:00,SHORT,70801.6171875,67969.55249999999,TP,269.329351781251,1843.0415247437606
143,2026-02-10 11:00,SHORT,71404.6875,68548.5,TP,271.62343125,2114.6649559937605
144,2026-02-13 15:00,SHORT,66946.578125,67749.9370625,SL,-93.80554526875011,2020.8594107250103
145,2026-02-14 08:00,SHORT,68573.484375,69396.3661875,SL,-96.08516630624962,1924.7742444187609
146,2026-02-15 07:00,SHORT,69616.640625,70452.0403125,SL,-97.54683684375013,1827.2274075750108
147,2026-02-16 15:00,SHORT,70750.796875,67920.765,TP,269.13603131250005,2096.3634388875107
148,2026-02-20 05:00,SHORT,66813.484375,67615.2461875,SL,-93.61905430625009,2002.7443845812606
149,2026-02-23 01:00,SHORT,67835.203125,65121.795,TP,258.0451126875002,2260.789497268761
150,2026-02-25 14:00,SHORT,65926.2578125,66717.37290625,SL,-92.37587244687562,2168.413624821885
151,2026-02-25 16:00,SHORT,66909.9296875,67712.84884375,SL,-93.75419347812556,2074.6594313437595
152,2026-02-25 18:00,SHORT,68298.890625,69118.4773125,SL,-95.70040554375066,1978.9590258000094
153,2026-02-27 16:00,SHORT,68287.078125,65555.595,TP,259.7640451874999,2238.723070987509
154,2026-03-02 15:00,SHORT,67271.4453125,68078.70265625,SL,-94.26074917187461,2144.4623218156344
155,2026-03-03 09:00,SHORT,69511.75,66731.28,TP,264.42269700000014,2408.8850188156343
156,2026-03-04 08:00,LONG,67054.8515625,69737.045625,TP,254.5402165312499,2663.425235346884
157,2026-03-04 15:00,SHORT,71028.4296875,71880.77084375,SL,-99.52503567812468,2563.90019966876
158,2026-03-06 11:00,SHORT,73245.125,70315.31999999999,TP,278.6244555000007,2842.5246551687605
159,2026-03-10 02:00,SHORT,69038.953125,69867.4205625,SL,-96.7373811187503,2745.78727405001
160,2026-03-10 14:00,SHORT,70282.6640625,71126.05603125,SL,-98.4800688843752,2647.307205165635
161,2026-03-13 10:00,LONG,69403.859375,72180.01375,TP,263.4570501874998,2910.764255353135
162,2026-03-13 13:00,SHORT,72489.6875,73359.56375,SL,-101.57255012500012,2809.1917052281347
163,2026-03-14 09:00,SHORT,73510.8046875,70570.3725,TP,279.6351010312502,3088.8268062593847
164,2026-03-16 03:00,LONG,70563.671875,73386.21875,TP,267.8596984375,3356.6865046968846
165,2026-03-16 22:00,SHORT,73661.484375,74545.42218750001,SL,-103.21447190625076,3253.472032790634
166,2026-03-18 12:00,SHORT,75620.7421875,72595.91249999999,TP,287.66130328125087,3541.1333360718845
167,2026-03-18 18:00,LONG,72050.671875,71186.0638125,SL,-100.78447981875033,3440.3488562531347
168,2026-03-22 21:00,SHORT,70785.0546875,67953.6525,TP,269.2663480312504,3709.615204284385
169,2026-03-26 17:00,SHORT,71410.3125,68553.9,TP,271.64482875000056,3981.2600330343857
170,2026-03-30 04:00,SHORT,66508.2421875,67306.34109375,SL,-93.19134895312513,3888.0686840812605
171,2026-04-01 05:00,SHORT,67478.3203125,68288.06015625,SL,-94.55062242187442,3793.518061659386
172,2026-04-02 04:00,SHORT,69125.265625,66360.255,TP,262.95251043749954,4056.470572096886
173,2026-04-05 22:00,SHORT,67364.34375,68172.715875,SL,-94.39091846249946,3962.079653634386
174,2026-04-06 09:00,SHORT,68801.5390625,69627.15753125,SL,-96.40471653437564,3865.6749371000105
175,2026-04-07 22:00,SHORT,69734.3828125,70571.19540625,SL,-97.71181719687507,3767.9631199031355
176,2026-04-09 17:00,SHORT,71457.9453125,72315.44065625001,SL,-100.12687297187581,3667.8362469312597
