Direction,Flat_Lots,Cmpd_Lots,Open_Date,Entry_Price,Exit_Price,Close_Date,Flat_PnL,Cmpd_PnL,Flat_Return,Cmpd_Return,Status,Session
LONG,0.10,0.10,2025-04-20 10:00,$84165.12,$86090.99,2025-04-21 00:00,$192.59,$192.59,2.29%,2.29%,Closed TP1 (Trailed),London
LONG,0.10,0.20,2025-04-24 07:00,$92212.97,$93486.57,2025-04-25 02:00,$127.36,$254.72,1.38%,1.38%,Closed TP1 (Trailed),Tokyo
LONG,0.10,0.30,2025-05-06 13:00,$93625.70,$95317.19,2025-05-06 22:00,$169.15,$507.45,1.81%,1.81%,Closed TP1 (Trailed),London
LONG,0.10,0.40,2025-05-25 00:00,$107457.78,$108071.60,2025-05-25 22:00,$61.38,$245.53,0.57%,0.57%,Closed TP1 (Trailed),Tokyo
LONG,0.10,0.50,2025-05-28 14:00,$107550.10,$106474.60,2025-05-29 17:00,$-107.55,$-537.75,-1.00%,-1.00%,Closed SL (Loss),London
LONG,0.10,0.10,2025-06-02 13:00,$103806.98,$105437.61,2025-06-03 04:00,$163.06,$163.06,1.57%,1.57%,Closed TP1 (Trailed),London
LONG,0.10,0.20,2025-06-05 20:00,$100587.24,$104107.80,2025-06-06 12:00,$352.06,$704.11,3.50%,3.50%,Closed TP2 (Booked),New York
LONG,0.10,0.30,2025-06-12 03:00,$107871.35,$106792.64,2025-06-12 13:00,$-107.87,$-323.61,-1.00%,-1.00%,Closed SL (Loss),Tokyo
LONG,0.10,0.10,2025-06-14 16:00,$104494.41,$108151.72,2025-06-16 18:00,$365.73,$365.73,3.50%,3.50%,Closed TP2 (Booked),New York
LONG,0.10,0.20,2025-06-17 15:00,$104269.55,$104782.44,2025-06-20 07:00,$51.29,$102.58,0.49%,0.49%,Closed TP1 (Trailed),London
LONG,0.10,0.30,2025-06-22 14:00,$99529.51,$98534.21,2025-06-22 20:00,$-99.53,$-298.59,-1.00%,-1.00%,Closed SL (Loss),London
LONG,0.10,0.10,2025-07-04 13:00,$108082.89,$111865.79,2025-07-09 19:00,$378.29,$378.29,3.50%,3.50%,Closed TP2 (Booked),London
LONG,0.10,0.20,2025-07-15 03:00,$117261.60,$116088.99,2025-07-15 14:00,$-117.26,$-234.52,-1.00%,-1.00%,Closed SL (Loss),Tokyo
LONG,0.10,0.10,2025-07-25 03:00,$115427.60,$119467.57,2025-07-27 16:00,$404.00,$404.00,3.50%,3.50%,Closed TP2 (Booked),Tokyo
LONG,0.10,0.20,2025-07-31 20:00,$116494.05,$115329.11,2025-08-01 00:00,$-116.49,$-232.99,-1.00%,-1.00%,Closed SL (Loss),New York
LONG,0.10,0.10,2025-08-01 00:00,$115435.42,$114281.07,2025-08-01 08:00,$-115.44,$-115.44,-1.00%,-1.00%,Closed SL (Loss),Tokyo
LONG,0.10,0.10,2025-08-02 18:00,$112332.95,$114554.30,2025-08-05 03:00,$222.13,$222.13,1.98%,1.98%,Closed TP1 (Trailed),New York
LONG,0.10,0.20,2025-08-14 12:00,$118951.27,$117761.76,2025-08-14 16:00,$-118.95,$-237.90,-1.00%,-1.00%,Closed SL (Loss),London
LONG,0.10,0.10,2025-08-18 01:00,$116400.41,$115236.40,2025-08-18 03:00,$-116.40,$-116.40,-1.00%,-1.00%,Closed SL (Loss),Tokyo
LONG,0.10,0.10,2025-08-18 03:00,$115407.06,$114252.99,2025-08-19 14:00,$-115.41,$-115.41,-1.00%,-1.00%,Closed SL (Loss),Tokyo
LONG,0.10,0.10,2025-08-19 14:00,$113937.98,$112798.60,2025-08-19 19:00,$-113.94,$-113.94,-1.00%,-1.00%,Closed SL (Loss),London
LONG,0.10,0.10,2025-08-21 16:00,$112368.77,$114902.73,2025-08-22 14:00,$253.40,$253.40,2.26%,2.26%,Closed TP1 (Trailed),New York
LONG,0.10,0.20,2025-08-24 19:00,$112449.15,$111324.66,2025-08-25 08:00,$-112.45,$-224.90,-1.00%,-1.00%,Closed SL (Loss),New York
LONG,0.10,0.10,2025-08-29 07:00,$109912.61,$108813.48,2025-08-29 14:00,$-109.91,$-109.91,-1.00%,-1.00%,Closed SL (Loss),Tokyo
LONG,0.10,0.10,2025-08-29 14:00,$108207.61,$110146.60,2025-09-02 13:00,$193.90,$193.90,1.79%,1.79%,Closed TP1 (Trailed),London
LONG,0.10,0.20,2025-09-04 15:00,$109530.47,$112150.97,2025-09-05 14:00,$262.05,$524.10,2.39%,2.39%,Closed TP1 (Trailed),London
LONG,0.10,0.30,2025-09-06 17:00,$110163.41,$111725.96,2025-09-09 00:00,$156.25,$468.76,1.42%,1.42%,Closed TP1 (Trailed),New York
LONG,0.10,0.40,2025-09-19 14:00,$115926.80,$114767.53,2025-09-22 00:00,$-115.93,$-463.71,-1.00%,-1.00%,Closed SL (Loss),London
LONG,0.10,0.10,2025-09-22 01:00,$114324.44,$113181.19,2025-09-22 06:00,$-114.32,$-114.32,-1.00%,-1.00%,Closed SL (Loss),Tokyo
LONG,0.10,0.10,2025-09-22 06:00,$112948.82,$111819.33,2025-09-23 03:00,$-112.95,$-112.95,-1.00%,-1.00%,Closed SL (Loss),Tokyo
LONG,0.10,0.10,2025-09-25 04:00,$111713.30,$110596.17,2025-09-25 17:00,$-111.71,$-111.71,-1.00%,-1.00%,Closed SL (Loss),Tokyo
LONG,0.10,0.10,2025-09-25 17:00,$108936.55,$112749.33,2025-09-29 13:00,$381.28,$381.28,3.50%,3.50%,Closed TP2 (Booked),New York
LONG,0.10,0.20,2025-09-30 09:00,$112874.59,$115274.27,2025-10-01 08:00,$239.97,$479.94,2.13%,2.13%,Closed TP1 (Trailed),London
LONG,0.10,0.30,2025-10-07 18:00,$120951.17,$121604.94,2025-10-08 08:00,$65.38,$196.13,0.54%,0.54%,Closed TP1 (Trailed),New York
LONG,0.10,0.40,2025-10-10 16:00,$118343.83,$117160.39,2025-10-10 19:00,$-118.34,$-473.38,-1.00%,-1.00%,Closed SL (Loss),New York
LONG,0.10,0.10,2025-10-10 19:00,$116787.39,$115619.52,2025-10-10 20:00,$-116.79,$-116.79,-1.00%,-1.00%,Closed SL (Loss),New York
LONG,0.10,0.10,2025-10-10 20:00,$114527.57,$113382.29,2025-10-10 21:00,$-114.53,$-114.53,-1.00%,-1.00%,Closed SL (Loss),New York
LONG,0.10,0.10,2025-10-14 06:00,$112004.89,$110884.84,2025-10-14 10:00,$-112.00,$-112.00,-1.00%,-1.00%,Closed SL (Loss),Tokyo
LONG,0.10,0.10,2025-10-21 04:00,$107843.02,$111617.52,2025-10-21 14:00,$377.45,$377.45,3.50%,3.50%,Closed TP2 (Booked),Tokyo
LONG,0.10,0.20,2025-11-03 03:00,$108007.80,$106927.72,2025-11-03 11:00,$-108.01,$-216.02,-1.00%,-1.00%,Closed SL (Loss),Tokyo
LONG,0.10,0.10,2025-11-04 17:00,$101085.31,$100074.46,2025-11-04 18:00,$-101.09,$-101.09,-1.00%,-1.00%,Closed SL (Loss),New York
LONG,0.10,0.10,2025-11-11 15:00,$103478.74,$104239.11,2025-11-12 14:00,$76.04,$76.04,0.73%,0.73%,Closed TP1 (Trailed),London
LONG,0.10,0.20,2025-11-13 19:00,$98650.99,$97664.48,2025-11-14 04:00,$-98.65,$-197.30,-1.00%,-1.00%,Closed SL (Loss),New York
LONG,0.10,0.10,2025-11-14 12:00,$95309.58,$96210.94,2025-11-14 15:00,$90.14,$90.14,0.95%,0.95%,Closed TP1 (Trailed),London
LONG,0.10,0.20,2025-11-17 19:00,$91585.55,$90669.69,2025-11-18 03:00,$-91.59,$-183.17,-1.00%,-1.00%,Closed SL (Loss),New York
LONG,0.10,0.10,2025-11-20 16:00,$87709.10,$86832.01,2025-11-20 17:00,$-87.71,$-87.71,-1.00%,-1.00%,Closed SL (Loss),New York
LONG,0.10,0.10,2025-11-20 17:00,$87101.06,$86230.05,2025-11-20 19:00,$-87.10,$-87.10,-1.00%,-1.00%,Closed SL (Loss),New York
LONG,0.10,0.10,2025-12-01 00:00,$87154.76,$86283.21,2025-12-01 03:00,$-87.15,$-87.15,-1.00%,-1.00%,Closed SL (Loss),Tokyo
LONG,0.10,0.10,2025-12-01 03:00,$86397.48,$85533.50,2025-12-01 12:00,$-86.40,$-86.40,-1.00%,-1.00%,Closed SL (Loss),Tokyo
LONG,0.10,0.10,2025-12-05 14:00,$90270.21,$89367.51,2025-12-05 16:00,$-90.27,$-90.27,-1.00%,-1.00%,Closed SL (Loss),London
LONG,0.10,0.10,2025-12-05 16:00,$88878.69,$87989.90,2025-12-07 14:00,$-88.88,$-88.88,-1.00%,-1.00%,Closed SL (Loss),New York
LONG,0.10,0.10,2025-12-12 16:00,$89982.59,$89082.77,2025-12-14 11:00,$-89.98,$-89.98,-1.00%,-1.00%,Closed SL (Loss),New York
LONG,0.10,0.10,2025-12-14 11:00,$89386.75,$88492.88,2025-12-14 20:00,$-89.39,$-89.39,-1.00%,-1.00%,Closed SL (Loss),London
LONG,0.10,0.10,2025-12-15 15:00,$86956.41,$86086.85,2025-12-15 17:00,$-86.96,$-86.96,-1.00%,-1.00%,Closed SL (Loss),London
LONG,0.10,0.10,2025-12-15 17:00,$85712.15,$86415.26,2025-12-16 10:00,$70.31,$70.31,0.82%,0.82%,Closed TP1 (Trailed),New York
LONG,0.10,0.20,2025-12-23 14:00,$86656.34,$87236.04,2025-12-23 18:00,$57.97,$115.94,0.67%,0.67%,Closed TP1 (Trailed),London
LONG,0.10,0.30,2026-01-06 17:00,$91550.18,$92822.20,2026-01-06 21:00,$127.20,$381.61,1.39%,1.39%,Closed TP1 (Trailed),New York
LONG,0.10,0.40,2026-01-07 18:00,$90691.76,$89784.84,2026-01-08 07:00,$-90.69,$-362.77,-1.00%,-1.00%,Closed SL (Loss),New York
LONG,0.10,0.10,2026-01-18 23:00,$93614.42,$92678.28,2026-01-19 00:00,$-93.61,$-93.61,-1.00%,-1.00%,Closed SL (Loss),Sydney
LONG,0.10,0.10,2026-01-19 00:00,$92697.59,$91770.62,2026-01-20 05:00,$-92.70,$-92.70,-1.00%,-1.00%,Closed SL (Loss),Tokyo
LONG,0.10,0.10,2026-01-20 05:00,$91604.17,$90688.13,2026-01-20 08:00,$-91.60,$-91.60,-1.00%,-1.00%,Closed SL (Loss),Tokyo
LONG,0.10,0.10,2026-01-20 22:00,$88411.83,$89072.80,2026-01-21 14:00,$66.10,$66.10,0.75%,0.75%,Closed TP1 (Trailed),Sydney
LONG,0.10,0.20,2026-01-25 03:00,$88839.12,$87950.73,2026-01-25 16:00,$-88.84,$-177.68,-1.00%,-1.00%,Closed SL (Loss),Tokyo
LONG,0.10,0.10,2026-01-25 18:00,$87338.19,$86464.81,2026-01-25 19:00,$-87.34,$-87.34,-1.00%,-1.00%,Closed SL (Loss),New York
LONG,0.10,0.10,2026-01-25 19:00,$86388.41,$87427.02,2026-01-26 14:00,$103.86,$103.86,1.20%,1.20%,Closed TP1 (Trailed),New York
LONG,0.10,0.20,2026-01-29 14:00,$86876.08,$86007.32,2026-01-29 15:00,$-86.88,$-173.75,-1.00%,-1.00%,Closed SL (Loss),London
LONG,0.10,0.10,2026-01-29 15:00,$84758.59,$83911.01,2026-01-29 18:00,$-84.76,$-84.76,-1.00%,-1.00%,Closed SL (Loss),London
LONG,0.10,0.10,2026-01-29 18:00,$83441.05,$82606.64,2026-01-30 01:00,$-83.44,$-83.44,-1.00%,-1.00%,Closed SL (Loss),New York
LONG,0.10,0.10,2026-01-31 14:00,$81360.44,$80546.83,2026-01-31 16:00,$-81.36,$-81.36,-1.00%,-1.00%,Closed SL (Loss),London
LONG,0.10,0.10,2026-01-31 16:00,$80141.04,$79339.63,2026-01-31 17:00,$-80.14,$-80.14,-1.00%,-1.00%,Closed SL (Loss),New York
LONG,0.10,0.10,2026-01-31 17:00,$78709.90,$77922.80,2026-01-31 18:00,$-78.71,$-78.71,-1.00%,-1.00%,Closed SL (Loss),New York
LONG,0.10,0.10,2026-01-31 18:00,$77837.17,$77058.80,2026-01-31 20:00,$-77.84,$-77.84,-1.00%,-1.00%,Closed SL (Loss),New York
LONG,0.10,0.10,2026-02-03 17:00,$74846.29,$74097.83,2026-02-03 18:00,$-74.85,$-74.85,-1.00%,-1.00%,Closed SL (Loss),New York
LONG,0.10,0.10,2026-02-03 18:00,$73178.65,$74358.21,2026-02-03 19:00,$117.96,$117.96,1.61%,1.61%,Closed TP1 (Trailed),New York
LONG,0.10,0.20,2026-02-04 17:00,$72488.21,$73169.23,2026-02-04 18:00,$68.10,$136.20,0.94%,0.94%,Closed TP1 (Trailed),New York
LONG,0.10,0.30,2026-02-05 15:00,$67298.31,$67781.22,2026-02-05 16:00,$48.29,$144.87,0.72%,0.72%,Closed TP1 (Trailed),London
LONG,0.10,0.40,2026-02-05 17:00,$66066.13,$65405.47,2026-02-05 18:00,$-66.07,$-264.26,-1.00%,-1.00%,Closed SL (Loss),New York
LONG,0.10,0.10,2026-02-05 19:00,$65136.61,$64485.24,2026-02-05 20:00,$-65.14,$-65.14,-1.00%,-1.00%,Closed SL (Loss),New York
LONG,0.10,0.10,2026-02-05 20:00,$63543.18,$62907.74,2026-02-05 22:00,$-63.54,$-63.54,-1.00%,-1.00%,Closed SL (Loss),New York
LONG,0.10,0.10,2026-02-11 06:00,$66750.91,$67878.75,2026-02-11 14:00,$112.78,$112.78,1.69%,1.69%,Closed TP1 (Trailed),Tokyo
LONG,0.10,0.20,2026-02-17 14:00,$66916.46,$67388.79,2026-02-17 16:00,$47.23,$94.47,0.71%,0.71%,Closed TP1 (Trailed),London
LONG,0.10,0.30,2026-02-23 01:00,$64598.59,$65105.35,2026-02-23 06:00,$50.68,$152.03,0.78%,0.78%,Closed TP1 (Trailed),Tokyo
LONG,0.10,0.40,2026-02-27 12:00,$65805.47,$65147.41,2026-02-27 22:00,$-65.81,$-263.22,-1.00%,-1.00%,Closed SL (Loss),London
LONG,0.10,0.10,2026-02-28 06:00,$63106.07,$63620.13,2026-02-28 07:00,$51.41,$51.41,0.81%,0.81%,Closed TP1 (Trailed),Tokyo
LONG,0.10,0.20,2026-03-03 09:00,$66648.62,$67077.19,2026-03-03 12:00,$42.86,$85.71,0.64%,0.64%,Closed TP1 (Trailed),London
LONG,0.10,0.30,2026-03-06 14:00,$68341.33,$67657.91,2026-03-07 07:00,$-68.34,$-205.02,-1.00%,-1.00%,Closed SL (Loss),London
LONG,0.10,0.10,2026-03-08 04:00,$66647.52,$67488.74,2026-03-08 11:00,$84.12,$84.12,1.26%,1.26%,Closed TP1 (Trailed),Tokyo
LONG,0.10,0.20,2026-03-08 23:00,$65990.98,$66967.61,2026-03-09 03:00,$97.66,$195.33,1.48%,1.48%,Closed TP1 (Trailed),Sydney
LONG,0.10,0.30,2026-03-18 12:00,$72383.36,$71659.53,2026-03-18 14:00,$-72.38,$-217.15,-1.00%,-1.00%,Closed SL (Loss),London
LONG,0.10,0.10,2026-03-18 14:00,$71315.33,$70602.17,2026-03-19 06:00,$-71.32,$-71.32,-1.00%,-1.00%,Closed SL (Loss),London
LONG,0.10,0.10,2026-03-21 23:00,$68875.70,$68186.95,2026-03-22 19:00,$-68.88,$-68.88,-1.00%,-1.00%,Closed SL (Loss),Sydney
LONG,0.10,0.10,2026-03-26 10:00,$69460.29,$68765.69,2026-03-26 17:00,$-69.46,$-69.46,-1.00%,-1.00%,Closed SL (Loss),London
LONG,0.10,0.10,2026-03-27 10:00,$66486.01,$65821.15,2026-03-27 14:00,$-66.49,$-66.49,-1.00%,-1.00%,Closed SL (Loss),London
LONG,0.10,0.10,2026-04-05 06:00,$66825.31,$67642.23,2026-04-05 22:00,$81.69,$81.69,1.22%,1.22%,Closed TP1 (Trailed),Tokyo
